config_novalnet_api;"<b style='color:red;width: 800px;'>Novalnet Global Configuration</b>"
config_novalnet_secret_key;"Product activation key"
config_novalnet_success_msg;"Novalnet merchant details are configured successfully. To proceed further, kindly open and save the Novalnet payment configurations."
config_description_novalnet_secret_key;"Enter Novalnet Product activation key. To get the Product Activation Key, go to Novalnet admin portal - PROJECTS: Project Information - Shop Parameters: API Signature (Product activation key)."
config_NClass;"Click here to auto configure/reconfigure Novalnet API"
config_novalnet_vendor;"Merchant ID"
config_novalnet_auth_code;"Authentication code"
config_novalnet_product;"Project ID"
config_novalnet_tariff;"Tariff ID"
config_description_novalnet_tariff_val;"Select Tariff ID "
config_description_novalnet_tariff;"Select Novalnet tariff ID"
config_novalnet_password;"Payment access key"
config_description_novalnet_manual_check_limit;"In case the order amount exceeds the mentioned limit, the transaction will be set on-hold till your confirmation of the transaction. You can leave the field empty if you wish to process all the transactions as on-hold."
config_novalnet_proxy;"Proxy server"
config_description_novalnet_proxy;"Enter the IP address of your proxy server along with the port number in the following format IP Address : Port Number (if applicable)"
config_novalnet_curl_timeout;"Gateway timeout (in seconds)"
config_description_novalnet_curl_timeout;"In case the order processing time exceeds the gateway timeout, the order will not be placed"
config_novalnet_payment_logo_display;"Display payment method logo"
config_description_novalnet_payment_logo_display;"The payment method logo will be displayed on the checkout page"
config_novalnet_order_status;"<b style='color:red;width: 800px;'>Order status management for on-hold transaction(-s)</b>"
config_novalnet_onhold_order_complete;"Onhold order status"
config_novalnet_onhold_order_cancelled;"Cancellation payment status"
config_novalnetcc;"<b style='color:red;width: 800px;'>Credit Card Configuration</b>"
config_novalnetcc_test_mode;"Enable test mode"
config_novalnetcc_cc3d;"Enable 3D secure"
config_description_novalnetcc_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
